country,population,growth_rate,world_percentage,area_sq_km,pop_density,rank
India,1417173173,0.8099999999999999,17.849999999999998,3287590.0,480.5033,1
China,1425887337,-0.02,17.810000000000002,9706961.0,151.2696,2
United States,338289857,0.5,4.25,9372610.0,37.1686,3
Indonesia,275501339,0.74,3.47,1904569.0,147.8196,4
Pakistan,235824862,1.9800000000000002,3.0,881912.0,311.9625,5
Nigeria,218541212,2.41,2.8000000000000003,923768.0,245.7312,6
Brazil,215313498,0.52,2.7,8515767.0,25.8936,7
Bangladesh,171186372,1.03,2.16,147570.0,1328.6803,8
Russia,144713314,-0.19,1.7999999999999998,17098242.0,8.82,9
Mexico,127504125,0.75,1.6,1964375.0,66.0797,10
Ethiopia,123379924,2.55,1.58,1104300.0,112.1126,11
Japan,123951692,-0.53,1.54,377930.0,338.2566,12
Philippines,115559009,1.54,1.47,342353.0,393.5251,13
Egypt,110990103,1.5599999999999998,1.41,1002450.0,113.2318,14
DR Congo,99010212,3.29,1.28,2344858.0,45.1083,15
Vietnam,98186856,0.6799999999999999,1.23,331212.0,315.411,16
Iran,88550570,0.7000000000000001,1.11,1648195.0,54.9601,17
Turkey,85341241,0.5599999999999999,1.0699999999999998,783562.0,109.5206,18
Germany,83369843,-0.09,1.04,357114.0,238.4002,19
Thailand,71697030,0.15,0.8999999999999999,513120.0,140.5416,20
United Kingdom,67508936,0.33999999999999997,0.8500000000000001,242900.0,279.9851,21
Tanzania,65497748,2.96,0.84,945087.0,76.1324,22
France,64626628,0.2,0.8099999999999999,551695.0,118.2646,23
South Africa,59893885,0.8699999999999999,0.75,1221037.0,49.8022,24
Italy,59037474,-0.27999999999999997,0.74,301336.0,199.078,25
Kenya,54027487,1.9900000000000002,0.69,580367.0,96.8138,26
Myanmar,54179306,0.74,0.6799999999999999,676578.0,83.6227,27
Colombia,51874024,0.41000000000000003,0.65,1141748.0,46.9447,28
South Korea,51815810,-0.06,0.65,100210.0,530.5744,29
Uganda,47249585,2.82,0.61,241550.0,242.2817,30
Sudan,46874204,2.63,0.6,1886068.0,25.7543,31
Spain,47558630,-0.08,0.59,505992.0,95.1236,32
Argentina,45510318,0.58,0.5700000000000001,2780400.0,16.726,33
Algeria,44903225,1.5699999999999998,0.5700000000000001,2381741.0,19.1484,34
Iraq,44496122,2.27,0.5700000000000001,438317.0,104.8183,35
Afghanistan,41128771,2.7,0.53,652230.0,64.7622,36
Poland,39857145,2.93,0.51,312679.0,134.0152,37
Canada,38454327,0.8500000000000001,0.48,9984670.0,4.3256,38
Morocco,37457971,1.02,0.47000000000000003,446550.0,84.7861,39
Saudi Arabia,36408820,1.48,0.45999999999999996,2149690.0,17.1871,40
Ukraine,39701739,-7.449999999999999,0.45999999999999996,603500.0,63.4184,41
Angola,35588987,3.08,0.45999999999999996,1246700.0,29.425,42
Uzbekistan,34627652,1.55,0.44,447400.0,79.8002,43
Yemen,33696614,2.2399999999999998,0.43,527968.0,65.2496,44
Peru,34049588,0.89,0.43,1285216.0,26.8381,45
Malaysia,33938221,1.09,0.43,330803.0,104.4241,46
Ghana,33475870,1.9300000000000002,0.43,238533.0,149.965,47
Mozambique,32969518,2.81,0.42,801590.0,43.1056,48
Nepal,30547580,1.1400000000000001,0.38999999999999996,147181.0,215.5325,49
Madagascar,29611714,2.41,0.38,587041.0,52.124,50
Ivory Coast,28160542,2.53,0.36,322463.0,90.7957,51
Venezuela,28301696,1.9,0.36,916445.0,32.6949,52
Cameroon,27914536,2.63,0.36,475442.0,60.6023,53
Niger,26207977,3.8,0.33999999999999997,1267000.0,21.4754,54
Australia,26177413,1.0,0.33,7692024.0,3.4372,55
North Korea,26069416,0.35000000000000003,0.33,120538.0,217.2645,56
Taiwan,23893394,0.13,0.3,36193.0,660.9188,57
Mali,22593590,3.1,0.29,1240192.0,19.0902,58
Burkina Faso,22673762,2.55,0.29,272967.0,84.9835,59
Syria,22125249,4.9799999999999995,0.29,185180.0,126.4881,60
Sri Lanka,21832143,0.27999999999999997,0.27,65610.0,353.9214,61
Malawi,20405317,2.58,0.26,118484.0,222.0169,62
Zambia,20017675,2.76,0.26,752612.0,27.6702,63
Romania,19659267,1.1900000000000002,0.25,238391.0,86.4604,64
Chile,19603733,0.13,0.25,756102.0,26.4005,65
Kazakhstan,19397998,1.08,0.24,2724900.0,7.2625,66
Chad,17723315,3.1300000000000003,0.22999999999999998,1284000.0,14.516,67
Ecuador,18001000,1.05,0.22999999999999998,276841.0,73.2424,68
Somalia,17597511,3.1,0.22999999999999998,637657.0,28.9211,69
Guatemala,17843908,1.39,0.22999999999999998,108889.0,168.8319,70
Senegal,17316449,2.58,0.22,196722.0,92.2618,71
Netherlands,17564014,0.31,0.22,41850.0,523.264,72
Cambodia,16767842,1.06,0.21,181035.0,95.9938,73
Zimbabwe,16320537,2.11,0.21,390757.0,43.0798,74
Guinea,13859341,2.39,0.18,245857.0,57.7511,75
Rwanda,13776698,2.31,0.18,26338.0,571.3289,76
Benin,13352864,2.7,0.16999999999999998,112622.0,121.6107,77
Burundi,12889576,2.71,0.16999999999999998,27834.0,515.5202,78
Tunisia,12356117,0.83,0.16,163610.0,80.1894,79
Bolivia,12224110,1.35,0.15,1098581.0,11.436,80
Haiti,11584996,1.21,0.15,27750.0,425.4268,81
Belgium,11655930,0.26,0.15,30528.0,385.9359,82
Jordan,11285869,0.44999999999999996,0.13999999999999999,89342.0,127.6781,83
Dominican Republic,11228821,0.9299999999999999,0.13999999999999999,48671.0,234.5885,84
Cuba,11212191,-0.16,0.13999999999999999,109884.0,107.8463,85
South Sudan,10913164,1.6099999999999999,0.13999999999999999,619745.0,17.5475,86
Sweden,10549347,0.59,0.13,450295.0,26.0558,87
Honduras,10432860,1.54,0.13,112492.0,94.6805,88
Czech Republic,10493986,0.01,0.13,78865.0,135.9521,89
Azerbaijan,10358074,0.53,0.13,86600.0,125.991,90
Greece,10384971,-0.42,0.13,131990.0,80.2271,91
Papua New Guinea,10142619,1.8499999999999999,0.13,462840.0,22.8104,92
Portugal,10270865,-0.22999999999999998,0.13,92090.0,111.8666,93
Hungary,9967308,1.9,0.13,93028.0,111.2891,94
Tajikistan,9952787,1.92,0.13,143100.0,73.0855,95
United Arab Emirates,9441129,0.8,0.12,83600.0,134.0027,96
Belarus,9534954,-0.38999999999999996,0.12,207600.0,46.794,97
Israel,9038309,1.51,0.11,20770.0,423.9612,98
Togo,8848699,2.32,0.11,56785.0,166.4607,99
Austria,8939617,0.22,0.11,83871.0,108.5671,100
Switzerland,8740472,0.64,0.11,41284.0,222.6103,101
Sierra Leone,8605718,2.15,0.11,71740.0,121.794,102
Laos,7529475,1.39,0.1,236800.0,33.0753,103
Hong Kong,7488865,0.04,0.09,1104.0,7134.8657,104
Serbia,7221365,-1.0,0.09,88361.0,81.7411,105
Nicaragua,6948392,1.41,0.09,130373.0,58.5533,106
Libya,6812341,1.1199999999999999,0.09,1759540.0,3.9149,107
Paraguay,6780744,1.1900000000000002,0.09,406752.0,17.2704,108
Kyrgyzstan,6630623,1.58,0.08,199951.0,35.1165,109
Bulgaria,6781953,-1.39,0.08,110879.0,61.6039,110
Turkmenistan,6430770,1.3299999999999998,0.08,488100.0,13.8661,111
El Salvador,6336392,0.44999999999999996,0.08,21041.0,307.1884,112
Republic of the Congo,5970424,2.29,0.08,342000.0,17.8825,113
Singapore,5975689,0.65,0.08,710.0,8377.0515,114
Denmark,5882261,0.49,0.06999999999999999,43094.0,147.7728,115
Slovakia,5643453,2.69,0.06999999999999999,49037.0,118.1849,116
Central African Republic,5579144,2.92,0.06999999999999999,622984.0,9.2175,117
Finland,5540745,0.09,0.06999999999999999,338424.0,18.2453,118
Norway,5434319,0.74,0.06999999999999999,323802.0,15.0277,119
Liberia,5302681,2.18,0.06999999999999999,111369.0,56.2539,120
Palestine,5250072,2.31,0.06999999999999999,6220.0,892.2309,121
Lebanon,5489739,-2.4699999999999998,0.06999999999999999,10452.0,523.3558,122
New Zealand,5185288,0.83,0.06999999999999999,270467.0,19.8553,123
Costa Rica,5180829,0.6,0.06999999999999999,51100.0,102.0794,124
Ireland,5023109,0.67,0.06,70273.0,73.4059,125
Mauritania,4736139,2.68,0.06,1030700.0,4.7181,126
Oman,4576298,1.49,0.06,309500.0,15.0061,127
Panama,4408581,1.35,0.06,75417.0,60.233,128
Kuwait,4268873,0.97,0.05,17818.0,241.8691,129
Croatia,4030358,-0.54,0.05,56594.0,71.6336,130
Eritrea,3684032,1.76,0.05,117600.0,30.9722,131
Georgia,3744385,-0.43,0.05,69700.0,53.6521,132
Mongolia,3398366,1.44,0.04,1564110.0,2.2133,133
Moldova,3272996,4.9799999999999995,0.04,33846.0,104.4845,134
Uruguay,3422794,0.01,0.04,181034.0,19.5584,135
Puerto Rico,3252407,0.24,0.04,8870.0,367.5664,136
Bosnia and Herzegovina,3233526,-0.7000000000000001,0.04,51209.0,62.7119,137
Albania,2842321,-0.35000000000000003,0.04,28748.0,103.3737,138
Jamaica,2827377,-0.06,0.04,10991.0,260.8997,139
Armenia,2780469,-0.09,0.03,29743.0,97.5753,140
Gambia,2705992,2.48,0.03,10689.0,274.0285,141
Lithuania,2750055,-1.15,0.03,65300.0,43.4103,142
Qatar,2695122,0.79,0.03,11586.0,236.4135,143
Botswana,2630296,1.71,0.03,582000.0,4.7207,144
Namibia,2567012,1.4500000000000002,0.03,825615.0,3.1631,145
Gabon,2388992,1.9900000000000002,0.03,267668.0,9.4561,146
Lesotho,2305825,1.06,0.03,30355.0,76.7562,147
Guinea-Bissau,2105566,2.15,0.03,36125.0,76.488,148
Slovenia,2119844,-0.01,0.03,20273.0,105.2658,149
North Macedonia,2093599,-0.38,0.03,25713.0,82.6994,150
Latvia,1850651,-1.0999999999999999,0.02,64559.0,29.4104,151
Equatorial Guinea,1674908,2.37,0.02,28051.0,61.1291,152
Trinidad and Tobago,1531044,0.25,0.02,5130.0,299.208,153
Bahrain,1472233,0.8999999999999999,0.02,765.0,1892.3682,154
Timor-Leste,1341296,1.44,0.02,14874.0,91.4994,155
Estonia,1326062,-0.25,0.02,45227.0,30.9419,156
Mauritius,1299469,0.08,0.02,2040.0,640.6685,157
Cyprus,1251488,0.69,0.02,9251.0,136.3786,158
Eswatini,1201670,0.76,0.02,17364.0,70.3966,159
Djibouti,1120849,1.39,0.01,23200.0,49.0274,160
Reunion,974052,0.8,0.01,2511.0,390.8424,161
Fiji,929766,0.7100000000000001,0.01,18272.0,51.2521,162
Comoros,836774,1.83,0.01,1862.0,457.8587,163
Guyana,808726,0.63,0.01,214969.0,4.1343,164
Bhutan,782455,0.64,0.01,38394.0,20.6456,165
Solomon Islands,724273,2.23,0.01,28896.0,26.4532,166
Macau,695168,1.29,0.01,32.9,21402.7052,167
Luxembourg,647599,1.11,0.01,2586.0,254.3282,168
Montenegro,627082,-0.1,0.01,13812.0,46.5788,169
Suriname,618040,0.84,0.01,163820.0,3.9951,170
Cape Verde,593149,0.9299999999999999,0.01,4033.0,148.4458,171
Western Sahara,575986,1.96,0.01,266000.0,2.2077,172
Malta,533286,0.33,0.01,316.0,1672.075,173
Maldives,523787,-0.53,0.01,300.0,1736.7367,174
Brunei,449002,0.7799999999999999,0.01,5765.0,85.8679,175
Bahamas,409984,0.64,0.01,13943.0,41.2211,176
Belize,405272,1.37,0.01,22966.0,18.0107,177
Guadeloupe,395752,0.02,0.0,1628.0,243.1443,178
Iceland,372899,0.65,0.0,103000.0,3.7223,179
Martinique,367507,-0.13999999999999999,0.0,1128.0,325.3378,180
Mayotte,326101,3.0300000000000002,0.0,374.0,898.3824,181
Vanuatu,326740,2.3800000000000003,0.0,12189.0,27.441,182
French Guiana,304557,2.4899999999999998,0.0,83534.0,3.7369,183
French Polynesia,306279,0.8500000000000001,0.0,4167.0,88.9865,184
New Caledonia,289950,1.05,0.0,18575.0,16.028,185
Barbados,281635,0.13,0.0,430.0,655.8023,186
Sao Tome and Principe,227380,1.97,0.0,964.0,241.5167,187
Samoa,222382,1.48,0.0,2842.0,81.1802,188
Curacao,191163,0.48,0.0,444.0,432.6059,189
Saint Lucia,179857,0.22,0.0,616.0,295.4934,190
Guam,171774,0.69,0.0,549.0,320.2815,191
Kiribati,131232,1.7399999999999998,0.0,811.0,164.8333,192
Grenada,125438,0.59,0.0,344.0,371.1265,193
Micronesia,114164,0.9299999999999999,0.0,702.0,164.6057,194
Jersey,110778,0.9199999999999999,0.0,116.0,931.6833,195
Tonga,106858,0.86,0.0,747.0,149.6847,196
Seychelles,107118,0.51,0.0,452.0,234.0435,197
Aruba,106445,-0.16,0.0,180.0,590.4278,198
Saint Vincent and the Grenadines,103948,-0.24,0.0,389.0,265.8923,199
United States Virgin Islands,99465,-0.72,0.0,347.0,284.5821,200
Antigua and Barbuda,93763,0.5700000000000001,0.0,442.0,214.3136,201
Isle of Man,84519,0.22999999999999998,0.0,572.0,148.614,202
Andorra,79824,0.33,0.0,468.0,170.4,203
Dominica,72737,0.42,0.0,751.0,97.3867,204
Cayman Islands,68706,0.88,0.0,264.0,288.7917,205
Bermuda,64184,-0.18,0.0,54.0,1186.463,206
Guernsey,63301,0.38,0.0,78.0,1008.6349,207
Greenland,56466,0.31,0.0,2166086.0,0.138,208
Faroe Islands,53090,0.33999999999999997,0.0,1393.0,38.9971,209
Northern Mariana Islands,49551,0.49,0.0,464.0,108.2522,210
Saint Kitts and Nevis,47657,0.21,0.0,261.0,183.6731,211
Turks and Caicos Islands,45703,0.79,0.0,948.0,48.5886,212
Sint Maarten,44175,0.11,0.0,34.0,1300.6471,213
American Samoa,44273,-0.8099999999999999,0.0,199.0,219.57,214
Marshall Islands,41569,1.03,0.0,181.0,233.3111,215
Liechtenstein,39327,0.65,0.0,160.0,247.4,216
Monaco,36469,-0.47000000000000003,0.0,2.02,18148.5,217
San Marino,33660,-0.05,0.0,61.0,560.7,218
Gibraltar,32649,0.12,0.0,6.8,4807.0588,219
Saint Martin,31791,0.8999999999999999,0.0,53.0,641.54,220
British Virgin Islands,31305,0.74,0.0,151.0,210.2533,221
Palau,18055,0.02,0.0,459.0,39.2565,222
Cook Islands,17011,0.19,0.0,240.0,71.0167,223
Anguilla,15857,0.26,0.0,91.0,174.7143,224
Nauru,12668,0.88,0.0,21.0,639.0,225
Wallis and Futuna,11572,-0.6,0.0,274.0,41.9781,226
Tuvalu,11312,0.74,0.0,26.0,379.8667,227
Saint Barthelemy,10967,0.25,0.0,21.0,439.76,228
Saint Pierre and Miquelon,5862,-0.38,0.0,242.0,24.1322,229
Montserrat,4390,-0.09,0.0,102.0,43.0,230
Falkland Islands,3780,0.29,0.0,12173.0,0.3114,231
Niue,1934,0.05,0.0,261.0,7.4138,232
Tokelau,1871,1.18,0.0,12.0,189.3,233
Vatican City,510,1.5699999999999998,0.0,0.44,1177.2727,234
